id,area,expected_behavior,status,issue_ids,check_ids,test_count,test_ids,source_refs,verification_note
OUTPUT-LIMIT-AGGREGATES,output,"The advertised -n option caps printed tools, stats, path and clean rows; zero allows all.",failed,SXR-AUD-007,LIMIT-tools; LIMIT-stats; LIMIT-path; LIMIT-clean,0,,README.md; src/sxr/onboard.py,
LIST-DEFAULT,list,"Bare invocation lists Claude sessions in the exact cwd, newest first, with @N handles.",passed,,LIST-default,3,tests/test_lazy_discovery.py::test_limited_list_summarizes_only_visible_sessions[claude]; tests/test_lazy_discovery.py::test_limited_list_summarizes_only_visible_sessions[codex]; tests/test_providers.py::test_claude_list_and_parse,README.md; src/sxr/views_info.py,
LIST-CODEX,list,"--codex lists actual Codex thread IDs with kind, model/effort, counts and source metadata.",passed,,LIST-provider,2,tests/test_providers.py::test_codex_list_and_parse; tests/test_providers.py::test_codex_thread_identity_and_legacy_fallback,README.md; src/sxr/views_info.py,
LIST-LIMIT,list,"List -n caps visible sessions, -n 0 shows all, and text output reports omitted sessions.",passed,,,3,tests/test_lazy_discovery.py::test_limited_list_summarizes_only_visible_sessions[claude]; tests/test_lazy_discovery.py::test_limited_list_summarizes_only_visible_sessions[codex]; tests/test_navigation.py::test_list_view_handles_empty_and_zero_visible_rows,README.md; src/sxr/views_info.py,
LIST-LIVE,list,Sessions whose last timestamp is within ten minutes of now are labelled live; JSON has a separate boolean.,passed,,,6,tests/test_scope.py::test_bare_list_labels_the_live_session; tests/test_scope.py::test_is_live_only_inside_the_window; tests/test_scope.py::test_list_json_carries_a_live_boolean; tests/test_scope.py::test_list_view_marks_live_rows_and_names_the_fix; tests/test_scope.py::test_list_view_says_nothing_when_no_row_is_live; tests/test_scope.py::test_window_edges_are_ten_minutes,README.md; src/sxr/views_info.py,
LIST-EMPTY,list,An empty list currently returns exit 0 and no JSON rows; stderr explains searched roots. This deliberate tested exception conflicts with the README's general empty=1 statement.,passed,,,2,tests/test_discovery.py::test_empty_json_list_keeps_stdout_machine_readable; tests/test_navigation.py::test_list_view_handles_empty_and_zero_visible_rows,README.md; src/sxr/views_info.py,
LIST-LAZY,list,Only displayed sessions are summarized; titles and metadata refresh on later invocations.,passed,,,8,tests/test_lazy_discovery.py::test_count_reuses_events_for_summaries[claude]; tests/test_lazy_discovery.py::test_count_reuses_events_for_summaries[codex]; tests/test_lazy_discovery.py::test_limited_list_summarizes_only_visible_sessions[claude]; tests/test_lazy_discovery.py::test_limited_list_summarizes_only_visible_sessions[codex]; tests/test_lazy_discovery.py::test_new_invocation_sees_appended_records[claude]; tests/test_lazy_discovery.py::test_new_invocation_sees_appended_records[codex]; tests/test_lazy_discovery.py::test_titles_are_refreshed_per_discovery[claude]; tests/test_lazy_discovery.py::test_titles_are_refreshed_per_discovery[codex],README.md; src/sxr/views_info.py,
SELECT-DEFAULT,selection,No session argument selects the newest session in the filtered scope.,passed,,SELECT-identities,1,tests/test_handles.py::test_default_is_newest,README.md; src/sxr/handles.py,
SELECT-HANDLES,selection,@N selects one session; @A:@B includes both endpoints and accepts reverse order.,passed,,SELECT-range,2,tests/test_handles.py::test_ordinal_and_range; tests/test_handles.py::test_out_of_range_exits_2,README.md; src/sxr/handles.py,
SELECT-NAMES,selection,Unique ID prefixes and case-insensitive name/title matches resolve sessions; unknown or ambiguous selectors fail with exit 2.,passed,,SELECT-identities,5,tests/test_handles.py::test_name_and_title_match; tests/test_handles.py::test_unique_prefix_and_ambiguity; tests/test_handles.py::test_unknown_exits_2; tests/test_lazy_discovery.py::test_names_and_time_handles_still_resolve[claude]; tests/test_lazy_discovery.py::test_names_and_time_handles_still_resolve[codex],README.md; src/sxr/handles.py,
SELECT-AMBIGUITY,selection,"Ambiguity diagnostics identify candidates, cap them at five short titles, and preserve distinct conflicting source paths.",passed,,,5,tests/test_discovery.py::test_colliding_short_ids_are_printed_as_distinct_full_ids; tests/test_handles.py::test_ambiguous_candidates_are_capped_not_inlined_whole; tests/test_handles.py::test_codex_short_id_collision_names_recoverable_candidates; tests/test_handles.py::test_duplicate_exact_ids_fail_with_distinct_paths; tests/test_handles.py::test_missing_and_hint_texts_are_used,README.md; src/sxr/handles.py,
SELECT-CHILD-ID,selection,Claude child IDs are parent-qualified and Codex child IDs remain real thread IDs with parent lineage metadata.,passed,,,3,tests/test_discovery.py::test_coverage_counts_codex_thread_lineage; tests/test_handles.py::test_parent_qualified_child_identity; tests/test_providers.py::test_codex_thread_identity_and_legacy_fallback,README.md; src/sxr/handles.py,
SCOPE-PATH,scope,"--path expands ~, resolves relative paths and symlinks, and defaults to one exact recorded project.",passed,,,5,tests/test_discovery.py::test_recorded_symlink_cwd_matches_physical_path[claude]; tests/test_discovery.py::test_recorded_symlink_cwd_matches_physical_path[codex]; tests/test_navigation.py::test_relative_home_and_absolute_scopes_produce_same_session; tests/test_navigation.py::test_symlink_scope_resolves_to_recorded_canonical_path; tests/test_providers.py::test_codex_ignores_other_cwd,README.md; src/sxr/discovery_scope.py,
SCOPE-RECURSIVE,scope,--recursive includes descendants without matching sibling paths that merely share a prefix.,passed,,,2,tests/test_discovery.py::test_recursive_scope_uses_path_boundaries_and_is_opt_in[claude]; tests/test_discovery.py::test_recursive_scope_uses_path_boundaries_and_is_opt_in[codex],README.md; src/sxr/discovery_scope.py,
SCOPE-WORKTREES,scope,--worktrees adds registered sibling Git worktrees and is opt-in for both providers.,passed,,,2,tests/test_codex_discovery.py::test_codex_worktree_scope_includes_registered_sibling; tests/test_discovery.py::test_worktree_association_is_opt_in_and_registered,README.md; src/sxr/discovery_scope.py,
SCOPE-PROFILES,scope,Repeated --claude-root searches multiple profiles; explicit roots replace CLAUDE_CONFIG_DIR; Codex roots come from CODEX_HOME.,passed,,,4,tests/test_discovery.py::test_multiple_profiles_duplicates_and_unavailable_roots; tests/test_file_selection.py::test_codex_file_uses_its_own_history_profile; tests/test_navigation.py::test_relative_codex_home_reports_absolute_source_provenance; tests/test_search_index.py::test_paths_keep_profiles_and_duplicate_ids_separate,README.md; src/sxr/discovery_scope.py,
SCOPE-CHILDREN,scope,Ordinary session views require --include-agents for Claude children; nested child cwd follows recorded metadata and parent fallback.,passed,,,3,tests/test_discovery.py::test_nested_agent_round_trips_count_locate_and_zoom_from_another_cwd; tests/test_find_integrity.py::test_child_scope_tracks_parent_metadata_rewrites; tests/test_lazy_discovery.py::test_child_keeps_last_user_cwd_and_parent_fallback,README.md; src/sxr/discovery_scope.py,
SCOPE-ARCHIVES,scope,Ordinary Codex views include archived_sessions only with --archives; active/archive conflicts remain distinguishable.,passed,,,2,tests/test_codex_discovery.py::test_conflicting_active_and_archive_ids_are_not_silently_selected; tests/test_discovery.py::test_archive_only_and_duplicate_active_copy,README.md; src/sxr/discovery_scope.py,
SCOPE-COPIES,scope,Byte-identical copies of a session collapse into one result with all provenance paths; conflicting copies remain separate.,passed,,,3,tests/test_discovery.py::test_conflicting_profile_copies_reject_exact_id; tests/test_discovery.py::test_multiple_profiles_duplicates_and_unavailable_roots; tests/test_navigation.py::test_conflicting_profile_copies_navigate_by_handles_after_time_window,README.md; src/sxr/discovery_scope.py,
SCOPE-COVERAGE,scope,--coverage reports searched and unavailable roots on stderr without corrupting JSON stdout; empty/multi-root discovery also reports roots.,passed,,,3,tests/test_discovery.py::test_empty_json_list_keeps_stdout_machine_readable; tests/test_discovery.py::test_multiple_profiles_duplicates_and_unavailable_roots; tests/test_find_integrity.py::test_coverage_and_root_flags_keep_the_same_results,README.md; src/sxr/discovery_scope.py,
SCOPE-FILE,scope,"--file skips discovery, detects either provider from records, preserves exact source/child identity, and constrains all session commands.",passed,,FIND-roundtrip,34,tests/test_file_selection.py::test_archived_and_title_only_transcripts; tests/test_file_selection.py::test_claude_child_identity_and_explicit_parent_scope[False]; tests/test_file_selection.py::test_claude_child_identity_and_explicit_parent_scope[True]; tests/test_file_selection.py::test_codex_file_uses_its_own_history_profile; tests/test_file_selection.py::test_explicit_file_bypasses_discovery_and_accepts_both_flag_positions[_write_claude-sxr.providers.claude_code]; tests/test_file_selection.py::test_explicit_file_bypasses_discovery_and_accepts_both_flag_positions[_write_codex-sxr.providers.codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_codex]; tests/test_file_selection.py::test_file_validation_and_profile_constraints; tests/test_find.py::test_file_selection_applies_to_ranked_search,README.md; src/sxr/discovery_scope.py,
SCOPE-FILE-VALIDATION,scope,"An explicit file rejects inconsistent optional ID, project, provider or profile flags, missing files and conflicting selections.",passed,,,3,tests/test_file_selection.py::test_explicit_file_bypasses_discovery_and_accepts_both_flag_positions[_write_claude-sxr.providers.claude_code]; tests/test_file_selection.py::test_explicit_file_bypasses_discovery_and_accepts_both_flag_positions[_write_codex-sxr.providers.codex]; tests/test_file_selection.py::test_file_validation_and_profile_constraints,README.md; src/sxr/discovery_scope.py,
SCOPE-LEGACY,scope,Legacy Claude files without cwd can still match the full encoded project directory.,passed,,,2,tests/test_catalog.py::test_legacy_scope_uses_full_claude_path_encoding; tests/test_find_integrity.py::test_legacy_claude_exact_scope_uses_encoded_project,README.md; src/sxr/discovery_scope.py,
TIME-WINDOW,scope,--since is inclusive and --before exclusive; dates and ISO timestamps are interpreted as UTC instants. Fractional precision and recorded offsets must not change membership.,failed,SXR-AUD-002,TIME-fraction; TIME-offset,5,tests/test_scope.py::test_before_excludes_the_whole_named_day; tests/test_scope.py::test_both_bounds_are_a_half_open_interval; tests/test_scope.py::test_iso_datetimes_cut_inside_a_day; tests/test_scope.py::test_no_bounds_returns_the_scope_untouched; tests/test_scope.py::test_since_includes_the_whole_named_day,README.md; src/sxr/discovery_scope.py,
TIME-HANDLES,scope,today means UTC midnight; @N uses that session's start; filters renumber the remaining handles.,passed,,,4,tests/test_scope.py::test_a_handle_bounds_by_that_sessions_start; tests/test_scope.py::test_cmds_grep_honors_the_window; tests/test_scope.py::test_since_narrows_grep_and_renumbers_handles; tests/test_scope.py::test_today_reads_the_frozen_clock,README.md; src/sxr/discovery_scope.py,
TIME-VALIDATION,scope,Invalid dates and handles return exit 2 with accepted forms; an empty window explains what was excluded.,passed,,,9,tests/test_scope.py::test_a_bad_handle_still_exits_2; tests/test_scope.py::test_an_empty_scope_stays_quiet; tests/test_scope.py::test_an_empty_window_says_what_it_dropped; tests/test_scope.py::test_bad_dates_exit_2_with_the_accepted_forms[07/26/2026]; tests/test_scope.py::test_bad_dates_exit_2_with_the_accepted_forms[2026-13-45]; tests/test_scope.py::test_bad_dates_exit_2_with_the_accepted_forms[20260726]; tests/test_scope.py::test_bad_dates_exit_2_with_the_accepted_forms[last week]; tests/test_scope.py::test_bad_dates_exit_2_with_the_accepted_forms[yesterday]; tests/test_scope.py::test_bad_since_exits_2_through_the_cli,README.md; src/sxr/discovery_scope.py,
NAVIGATION-ROUNDTRIP,selection,"Printed follow-up commands preserve exact files, provider, absolute project/root paths and source coordinates when run from another cwd.",passed,,FIND-roundtrip,7,tests/test_discovery.py::test_nested_agent_round_trips_count_locate_and_zoom_from_another_cwd; tests/test_find.py::test_both_providers_and_clues_across_events; tests/test_navigation.py::test_conflicting_profile_copies_navigate_by_handles_after_time_window; tests/test_navigation.py::test_list_view_handles_empty_and_zero_visible_rows; tests/test_navigation.py::test_relative_codex_home_reports_absolute_source_provenance; tests/test_navigation.py::test_relative_home_and_absolute_scopes_produce_same_session; tests/test_navigation.py::test_symlink_scope_resolves_to_recorded_canonical_path,README.md; src/sxr/handles.py,
SHOW-SKELETON,show,"The default skeleton shows text, tool calls and turn context; hidden kinds are named with recovery flags.",passed,,,27,tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts9]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts9]; tests/test_views.py::test_show_hidden_note_names_flags,README.md; src/sxr/views_read.py,
